Date,Total Snow,Daily Delta,Min,Max,Mean
2016-08-05,0,0,5.2,13.8,7.90869565217
2016-08-04,0,0,4.9,17.1,11.0434782609
2016-08-03,0,0,8.6,17.3,11.9043478261
2016-08-02,0,0,5.2,15.7,9.6
2016-08-01,0,0,7.2,17.2,12.0913043478
2013-10-11,0,0,-5.0,5.7,-1.20434782609
2016-08-09,0,0,8.0,14.8,11.2260869565
2016-08-08,0,0,8.0,15.9,10.7913043478
2013-10-15,0.0,0.0,3.0,7.9,5.93913043478
2012-01-17,372.0,5.0,-29.5,-23.7,-27.4608695652
2012-01-16,367.0,0.0,-24.9,-17.9,-22.047826087
2012-01-15,367.0,-8.0,-16.6,-9.4,-14.3391304348
2012-01-14,375.0,13.0,-7.8,-2.4,-5.28260869565
2012-01-13,362.0,2.0,-5.0,1.2,-1.15652173913
2012-01-12,360.0,12.0,-9.3,4.1,-2.71666666667
2012-01-11,348.0,1.0,-16.0,-1.1,-11.1695652174
2012-01-10,347.0,-6.0,-13.9,-3.5,-9.59130434783
2019-01-21,352.0,1.0,-15.4,-6.5,-12.3
2019-01-20,351.0,10.0,-8.3,-3.2,-5.3
2019-01-23,367.0,4.0,-6.4,-0.6,-3.40434782609
2019-01-22,363.0,11.0,-7.6,1.5,-2.61739130435
2019-01-25,368.0,2.0,-4.7,3.8,-1.27826086957
2019-01-24,366.0,-1.0,-9.9,1.4,-5.80434782609
2012-01-19,368.0,4.0,-33.0,-21.3,-29.5304347826
2012-01-18,364.0,-8.0,-36.5,-24.2,-31.6217391304
2014-02-10,155.0,10.0,-9.7,0.0,-4.90869565217
2012-07-20,0,0,9.3,19.9,13.9826086957
2014-02-12,189.0,28.0,-4.8,-0.8,-2.28260869565
2014-02-13,200.0,11.0,-4.1,-1.2,-2.83913043478
2014-02-14,217.0,17.0,-3.9,0.5,-2.29565217391
2014-02-15,215.0,-2.0,-4.3,-0.3,-2.40869565217
2014-02-16,227.0,12.0,-7.1,-2.0,-4.86956521739
2012-07-21,0,0,7.1,15.0,10.7782608696
2014-02-18,249.0,8.0,-6.1,-2.5,-4.77391304348
2014-02-19,250.0,1.0,-7.0,-3.6,-5.34782608696
2018-11-22,10.0,0.0,-7.1,1.0,-2.90434782609
2018-12-19,159.0,17.0,-2.6,-1.0,-1.88695652174
2018-12-18,142.0,12.0,-1.6,-0.8,-1.26956521739
2015-12-21,264.0,0.0,-9.2,-3.5,-5.57391304348
2018-12-15,107.0,19.0,-7.5,-1.3,-4.8652173913
2018-12-14,88.0,18.0,-1.4,1.4,0.0739130434783
2018-12-17,130.0,14.0,-1.3,0.4,-0.547826086957
2018-12-16,116.0,9.0,-4.7,0.7,-1.93043478261
2018-12-11,44.0,11.0,-3.4,-0.8,-1.75217391304
2018-12-10,33.0,7.0,-3.1,0.1,-1.67391304348
2018-12-13,70.0,16.0,-3.1,-0.7,-2.0347826087
2018-12-12,54.0,10.0,-4.4,-1.6,-3.36086956522
2018-11-28,17.0,1.0,-1.4,0.5,-0.473913043478
2014-01-28,167.0,5.0,-6.2,3.6,0.7
2014-01-29,167.0,0.0,-7.8,3.7,-3.44782608696
2015-12-20,264.0,17.0,-4.3,-2.4,-3.18260869565
2014-01-20,161.0,-5.0,-7.2,7.7,-3.07391304348
2014-01-21,165.0,4.0,-0.4,8.8,2.34347826087
2014-01-22,161.0,-4.0,-5.1,4.4,-0.691304347826
2014-01-23,160.0,-1.0,-6.9,7.3,-3.11304347826
2014-01-24,161.0,1.0,-2.7,11.1,-4.82705662881e-17
2014-01-25,163.0,2.0,-1.6,12.2,1.44347826087
